"traded_mammal_high_priority"
"Pongo pygmaeus"
"Giraffa camelopardalis"
"Diceros bicornis"
"Allochrocebus solatus"
"Cercocebus torquatus"
"Equus zebra"
"Allochrocebus preussi"
"Piliocolobus badius"
"Capricornis sumatraensis"
"Connochaetes taurinus"
"Lutra lutra"
"Lutra sumatrana"
"Aonyx cinereus"
"Oryx gazella"
"Pseudoryx nghetinhensis"
"Ursus thibetanus"
"Hoolock tianxing"
"Piliocolobus tholloni"
"Cercopithecus wolfi"
"Piliocolobus langi"
"Lophocebus albigena"
"Procolobus verus"
"Cercopithecus nictitans"
"Cercopithecus hamlyni"
"Piliocolobus waldroni"
"Colobus vellerosus"
"Trachypithecus phayrei"
"Nycticebus bengalensis"
"Naemorhedus baileyi"
"Nomascus leucogenys"
"Eulemur albifrons"
"Petaurista philippensis"
"Macaca arctoides"
"Macaca leonina"
"Ateles belzebuth"
"Ateles chamek"
"Ateles fusciceps"
"Ateles paniscus"
"Callimico goeldii"
"Presbytis hosei"
"Nasalis larvatus"
"Trachypithecus germaini"
"Pygathrix nigripes"
"Trachypithecus hatinhensis"
"Trachypithecus pileatus"
"Glis glis"
"Cercopithecus pogonias"
"Castor fiber"
"Nycticebus pygmaeus"
"Macaca fascicularis"
"Pteropus pelewensis"
"Aproteles bulmerae"
"Anomalurus pelii"
"Belomys pearsonii"
"Hydrochoerus isthmius"
"Pteropus howensis"
"Tamiops mcclellandii"
"Trachypithecus crepusculus"
"Trachypithecus margarita"
