"x","y","hosts","mammals","pig","cattle","bovliv","mmb","builtup","energy","trans","agriharv","pollution","forest_integrity_grantham","hewson_forest_transition_potential","pop_2020_worldpop","motor_travel_time_weiss"
105.125,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
105.375,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
105.625,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
105.875,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
106.125,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
106.375,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
106.625,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.875,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
107.125,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
107.375,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
107.625,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
107.875,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
108.125,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
108.375,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","khaki","khaki","khaki"
104.375,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3"
104.625,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3"
104.875,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3"
105.125,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","violetred4","royalblue3","violetred4","khaki","royalblue3"
105.375,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","royalblue3","violetred4","khaki","royalblue3"
107.625,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
107.875,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
108.125,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
108.375,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
104.375,31.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3"
104.625,31.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","royalblue3","violetred4","violetred4","royalblue3"
104.875,31.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","royalblue3","violetred4","violetred4","royalblue3"
105.125,31.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","violetred4","violetred4","violetred4","royalblue3","violetred4","violetred4","royalblue3"
107.875,31.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
