"x","y","hosts","mammals","pig","cattle","bovliv","mmb","builtup","energy","trans","agriharv","pollution","forest_integrity_grantham","hewson_forest_transition_potential","pop_2020_worldpop","motor_travel_time_weiss"
108.125,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.375,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.625,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.875,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
109.125,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
102.625,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
102.875,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
103.125,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
105.875,28.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.125,28.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.625,28.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
107.625,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
107.875,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.125,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.375,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.625,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.875,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
109.125,28.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
109.375,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
102.375,27.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
102.625,27.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
102.875,27.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
103.125,27.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
105.125,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.375,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.625,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.875,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.125,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.375,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.625,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
107.875,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.125,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.375,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.625,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.875,27.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
102.375,27.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
102.625,27.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
102.875,27.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
103.125,27.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
103.375,27.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
104.875,27.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.125,27.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.375,27.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.625,27.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.875,27.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.125,27.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.375,27.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3"
106.625,27.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
108.375,27.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.625,27.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
108.875,27.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
102.375,27.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
102.625,27.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
102.875,27.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
103.125,27.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
104.875,27.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.125,27.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.375,27.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.625,27.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.875,27.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.125,27.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3"
106.375,27.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3"
108.375,27.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
108.625,27.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
102.625,27.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
102.875,27.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
103.125,27.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
105.375,27.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.625,27.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
105.875,27.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3"
106.125,27.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3"
105.125,26.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3"
