"x","y","hosts","mammals","pig","cattle","bovliv","mmb","builtup","energy","trans","agriharv","pollution","forest_integrity_grantham","hewson_forest_transition_potential","pop_2020_worldpop","motor_travel_time_weiss","tile"
102.125,27.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14837
102.375,27.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14838
102.625,27.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14839
102.875,27.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14840
103.125,27.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",14841
101.625,26.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15038
101.875,26.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15039
102.125,26.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15040
102.375,26.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15041
102.625,26.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15042
102.875,26.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15043
103.125,26.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15044
101.375,26.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15238
101.625,26.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15239
101.875,26.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15240
102.125,26.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15241
102.375,26.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15242
102.625,26.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15243
102.875,26.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15244
101.375,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15436
101.625,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15437
101.875,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15438
102.125,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15439
102.375,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15440
102.625,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15441
102.875,26.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15442
101.625,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15635
101.875,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15636
102.125,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15637
102.375,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15638
102.625,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15639
102.875,26.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15640
101.875,25.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15833
102.125,25.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15834
102.375,25.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15835
102.625,25.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",15836
