"its","twss","ratio"
38,0.000000000116415321826935,0.000000000000000451309640732449
37,48.145108964789,0.000186645121011006
36,96.2747475667566,0.000373230267752498
35,142.904308044759,0.000554000031187282
34,187.695070358401,0.000727641288460559
33,232.303550097597,0.000900575887178125
32,276.284368187713,0.00107107721724254
31,319.570646154811,0.00123888600951662
38,362.741690909927,0.00140624807485919
37,405.593295584724,0.00157237176035947
36,447.804717819061,0.00173601363760055
35,490.090449091891,0.00189994359019923
34,532.067268701154,0.00206267597868252
33,573.606605418143,0.00222371236835877
32,632.537869796302,0.00245217239696183
31,673.558839780744,0.00261119922380596
38,714.643125124916,0.00277047150659011
37,755.408992344164,0.00292850937136719
36,796.225861072278,0.00308674495472875
35,836.726813238784,0.00324375581794451
34,876.444698139268,0.00339773094839803
33,915.919128555426,0.00355076227391134
32,955.148702595616,0.00370284435974266
31,994.578400605125,0.00385570227022729
38,1033.92143948775,0.004008224227516
37,1072.88845836866,0.00415928846043289
36,1111.35358726414,0.00430840700625757
35,1149.87070468385,0.00445772709704927
34,1188.68903811622,0.00460821491807028
33,1227.03386884913,0.00475686710156673
32,1242.61181733833,0.00481725845062349
31,1279.30807436423,0.0049595195749728
38,1315.92240611781,0.00510146309795623
37,1352.4898997515,0.00524322504264973
36,1388.9013674063,0.0053843821182644
35,1425.18855707304,0.00552505740288055
34,1461.45429354723,0.00566564951946977
33,1497.67067480757,0.00580605029969981
32,1533.60395678002,0.0059453535831751
31,1569.5122816911,0.00608456011510412
